m/z,Intensity,Time
5621.003241403865, 1662.2293349694924, 42.24994054617844
5621.431158239513, 1660.5914715206054, 42.25154054617845
5621.859091381745, 1658.4031087023218, 42.25314054617845
5622.28704083056, 1657.8270443467295, 42.25474054617845
5622.71500658596, 1661.0993625796777, 42.25634054617846
5623.142988647943, 1666.754337525991, 42.25794054617846
5623.57098701651, 1671.9235777346014, 42.259540546178464
5623.999001691661, 1674.321573439684, 42.26114054617847
5624.427032673397, 1677.3263114837923, 42.26274054617847
5624.855079961715, 1679.241981115997, 42.264340546178474
5625.283143556618, 1680.9241572076216, 42.26594054617848
5625.711223458104, 1679.5402392882706, 42.26754054617848
5626.139319666176, 1675.8179772982921, 42.269140546178484
5626.567432180828, 1667.5178784470122, 42.27074054617849
5626.995561002067, 1657.9378259535742, 42.27234054617849
5627.423706129889, 1646.2989399052392, 42.273940546178494
5627.851867564295, 1643.8787878787878, 42.2755405461785
5628.280045305284, 1642.6158775607596, 42.2771405461785
5628.708239352858, 1644.124211746259, 42.278740546178504
5629.136449707017, 1647.854995398303, 42.28034054617851
5629.564676367758, 1652.1430957493951, 42.28194054617851
5629.992919335083, 1657.8270443467295, 42.283540546178514
5630.421178608992, 1663.023553873948, 42.28514054617852
5630.849454189485, 1669.1216552476399, 42.28674054617852
5631.277746076563, 1677.0382793059962, 42.288340546178524
5631.706054270222, 1684.283396393633, 42.28994054617853
5632.134378770468, 1693.0249173398784, 42.29154054617853
5632.562719577297, 1702.6032655009035, 42.293140546178535
5632.991076690708, 1711.656679278727, 42.29474054617854
5633.419450110704, 1723.3944166070153, 42.29634054617854
5633.847839837285, 1735.079319630501, 42.297940546178545
5634.276245870449, 1743.9997954801106, 42.29954054617855
5634.704668210196, 1747.497085591574, 42.30114054617855
5635.133106856528, 1750.7864471486523, 42.302740546178555
5635.561561809445, 1748.845212530252, 42.30434054617856
5635.990033068944, 1746.3534785424552, 42.30594054617856
5636.418520635027, 1742.200020451989, 42.307540546178565
5636.847024507695, 1739.1219961141223, 42.30914054617857
5637.275544686947, 1739.4066196270924, 42.31074054617857
5637.704081172781, 1736.6064014725432, 42.312340546178575
5638.1326339652, 1732.1768415311722, 42.31394054617858
5638.561203064203, 1727.602413334697, 42.31554054617858
5638.98978846979, 1723.8017520537207, 42.317140546178585
5639.418390181961, 1725.4157548488258, 42.31874054617859
5639.847008200714, 1727.03487064117, 42.32034054617859
5640.275642526053, 1732.0728772539799, 42.321940546178595
5640.704293157975, 1745.0888638920137, 42.3235405461786
5641.132960096482, 1761.544193339469, 42.3251405461786
5641.561643341572, 1780.5151174285038, 42.326740546178605
5641.990342893246, 1799.0787060708326, 42.32834054617861
5642.419058751503, 1817.0508913658523, 42.32994054617861
5642.847790916345, 1831.9126700071583, 42.331540546178616
5643.276539387771, 1841.545556805399, 42.33314054617862
5643.70530416578, 1846.6398063878378, 42.33474054617862
5644.134085250373, 1853.6429082728293, 42.336340546178626
5644.5628826415505, 1856.195998227494, 42.33794054617863
5644.991696339311, 1856.4874390701161, 42.33954054617863
5645.420526343656, 1847.8072740907387, 42.341140546178636
5645.849372654585, 1837.1858744929611, 42.34274054617864
5646.278235272097, 1827.3893717830726, 42.34434054617864
5646.707114196193, 1820.0147254320484, 42.345940546178646
5647.136009426874, 1815.2187340218838, 42.34754054617865
5647.564920964138, 1818.6376248423499, 42.34914054617865
5647.993848807986, 1818.053038824693, 42.350740546178656
5648.4227929584185, 1817.7343286634627, 42.35234054617866
5648.851753415434, 1814.0239970003752, 42.35394054617866
5649.280730179035, 1809.4257081501178, 42.355540546178666
5649.709723249218, 1807.0566860960562, 42.35714054617867
5650.1387326259855, 1808.0826942086787, 42.35874054617867
5650.567758309337, 1815.0176227971501, 42.360340546178676
5650.996800299273, 1830.573064730545, 42.36194054617868
5651.4258585957905, 1852.5265705423185, 42.36354054617868
5651.854933198894, 1886.7989910352114, 42.36514054617869
5652.284024108581, 1928.3472065991755, 42.36674054617869
5652.713131324853, 1968.8353274022563, 42.36834054617869
5653.142254847706, 2008.5411596277743, 42.3699405461787
5653.571394677145, 2037.4023247094115, 42.3715405461787
5654.000550813168, 2058.3673177216483, 42.3731405461787
5654.429723255775, 2073.3347649725606, 42.37474054617871
5654.858912004964, 2079.809523809524, 42.37634054617871
5655.288117060737, 2084.787878787878, 42.37794054617871
5655.717338423096, 2081.3587619729356, 42.37954054617872
5656.146576092037, 2067.3065412278015, 42.38114054617872
5656.5758300675625, 2050.7319085114364, 42.382740546178724
5657.005100349674, 2025.3254252309375, 42.38434054617873
5657.4343869383665, 1997.1903057572347, 42.38594054617873
5657.863689833644, 1972.4451034529775, 42.387540546178734
5658.293009035504, 1946.2921225755872, 42.38914054617874
5658.72234454395, 1924.5738146368064, 42.39074054617874
5659.151696358979, 1899.3752599106933, 42.392340546178744
5659.581064480591, 1873.4182772607974, 42.39394054617875
5660.010448908788, 1849.1485836997651, 42.39554054617875
5660.43984964357, 1820.8225789958076, 42.397140546178754
5660.869266684934, 1786.710365749736, 42.39874054617876
5661.298700032881, 1754.065582711252, 42.40034054617876
5661.728149687414, 1722.0411766710981, 42.401940546178764
5662.15761564853, 1697.1255411255413, 42.40354054617877
5662.58709791623, 1678.746020383816, 42.40514054617877
5663.016596490513, 1671.3867130245085, 42.406740546178774
5663.446111371381, 1671.1344718273854, 42.40834054617878
5663.8756425588335, 1668.8540750587997, 42.40994054617878
5664.305190052868, 1665.3584892797492, 42.411540546178784
5664.734753853488, 1660.785765415687, 42.41314054617879
5665.164333960691, 1652.7293860994648, 42.41474054617879
5665.593930374478, 1646.0569247025944, 42.416340546178795
5666.023543094849, 1644.2639670041247, 42.4179405461788
5666.453172121804, 1646.171114974265, 42.4195405461788
5666.882817455343, 1650.5904489211578, 42.421140546178805
5667.312479095465, 1650.334799059209, 42.42274054617881
5667.74215704217, 1649.5695538057744, 42.42434054617881
5668.171851295462, 1642.3193237208986, 42.425940546178815
5668.6015618553365, 1628.9505402733748, 42.42754054617882
5669.031288721794, 1610.628966833691, 42.42914054617882
5669.461031894836, 1596.454034154821, 42.430740546178825
5669.890791374462, 1582.9233391280632, 42.43234054617883
5670.320567160672, 1572.7518832873159, 42.43394054617883
5670.750359253465, 1566.8139891604455, 42.435540546178835
5671.180167652843, 1563.737669154992, 42.43714054617884
5671.609992358804, 1565.157378055016, 42.43874054617884
5672.039833371349, 1569.8391791935098, 42.440340546178845
5672.469690690479, 1576.9786276715413, 42.44194054617885
5672.899564316192, 1589.7815727579512, 42.44354054617885
5673.329454248488, 1600.7216825169583, 42.445140546178855
5673.759360487369, 1613.510992944064, 42.44674054617886
5674.189283032834, 1625.5026758018887, 42.44834054617886
5674.619221884882, 1630.5798820601974, 42.449940546178865
5675.049177043515, 1632.0933292429359, 42.45154054617887
5675.479148508731, 1625.8674029382692, 42.45314054617887
5675.909136280532, 1615.210212359819, 42.454740546178876
5676.339140358915, 1603.4196407267273, 42.45634054617888
5676.769160743883, 1588.827146606674, 42.45794054617888
5677.199197435435, 1577.3126768244874, 42.459540546178886
5677.629250433571, 1570.0147254320482, 42.46114054617889
5678.05931973829, 1561.597027644272, 42.46274054617889
5678.489405349593, 1548.270852507073, 42.464340546178896
5678.919507267481, 1530.7213416504756, 42.4659405461789
5679.349625491951, 1513.6098442240173, 42.4675405461789
5679.779760023006, 1497.0403245048915, 42.469140546178906
5680.209910860645, 1481.080955789617, 42.47074054617891
5680.640078004869, 1468.0990557998432, 42.47234054617891
5681.070261455675, 1459.7137403279137, 42.473940546178916
5681.500461213065, 1450.242765108907, 42.47554054617892
5681.930677277041, 1437.9528240788084, 42.47714054617892
5682.360909647598, 1425.4719978184544, 42.478740546178926
5682.79115832474, 1415.1164740771037, 42.48034054617893
5683.221423308466, 1406.7379759348262, 42.48194054617893
5683.651704598777, 1399.8422469918532, 42.483540546178936
5684.082002195671, 1398.3952687732215, 42.48514054617894
5684.512316099147, 1397.4919725943348, 42.48674054617894
5684.9426463092095, 1393.883900876027, 42.48834054617895
5685.372992825855, 1390.6286259672088, 42.48994054617895
5685.803355649085, 1385.6656099805707, 42.49154054617895
5686.233734778896, 1383.0000340866484, 42.49314054617896
5686.664130215295, 1380.5866993898492, 42.49474054617896
5687.094541958276, 1376.2645123904965, 42.49634054617896
5687.52497000784, 1372.5558850598222, 42.49794054617897
5687.955414363988, 1369.1233595800525, 42.49954054617897
5688.385875026722, 1365.5118791969185, 42.50114054617897
5688.816351996038, 1365.459044892116, 42.50274054617898
5689.246845271938, 1370.3470702525822, 42.50434054617898
5689.677354854422, 1376.1758871050206, 42.505940546178984
5690.107880743491, 1380.8150799331902, 42.50754054617899
5690.538422939142, 1383.4908818215904, 42.50914054617899
5690.968981441377, 1382.5995159695947, 42.510740546178994
5691.399556250198, 1381.3502403108703, 42.512340546179
5691.830147365601, 1383.5198554726112, 42.513940546179
5692.260754787589, 1393.5242867368852, 42.515540546179004
5692.6913785161605, 1405.0540955107886, 42.51714054617901
5693.122018551316, 1416.3844973923715, 42.51874054617901
5693.552674893054, 1427.2496165252069, 42.520340546179014
5693.983347541377, 1438.1215529876945, 42.52194054617902
5694.414036496284, 1448.3782254490916, 42.52354054617902
5694.8447417577745, 1454.81037597573, 42.525140546179024
5695.275463325849, 1459.4342298121826, 42.52674054617903
5695.706201200508, 1465.3431502880323, 42.52834054617903
5696.13695538175, 1464.4415584415588, 42.529940546179034
5696.567725869576, 1464.2319255547604, 42.53154054617904
5696.998512663987, 1460.9323380032044, 42.53314054617904
